Decision,Price,Amount Dollars,Amount
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
BUY,94449.1,100.0,0.0010587713382128575
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
SELL,94449.1,100.0,0
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
BUY,94449.0,100.0,0.001058772459210791
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
SELL,94418.4,99.96760156274814,0
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
HOLD,-,-,-
